wkt_geom,No,ST_NAME,ST_CODE,Control_og,BS_CODE,Gage_type,River_syst,A(km2),section_le,Slope,Out_len(km,thres_len(,Zero(EL.m),Zero_st(EL,Ebb_effect,Max_el(m),Time_Sirie,Daily_Siri,Longitude,Latitude,Latitude_d,Longitude_,X,Y
POINT(334312.21066425286699086 501024.96800425788387656),24,Yeongchun,1003630,Kwater,100306,T/M,Hangang,4690,,,285.2,0,159.971,177.63,N,10,1984Y 07M?~ 2013Y 09M,1986Y 01M?~ 2013Y 09M,128.5108333,37.09861111,128-30-39,37-05-55,334312.211,501024.968
POINT(323646.42276459257118404 490531.79905290924943984),25,Dukcheon,1003642,MOLIT,100310,T/M,Hangang,5131.09,,,271.45,,135.027,160.795,N,15,2010Y 12M?~ 2013Y 09M,2010Y 12M?~ 2013Y 09M,128.3891667,37.00555556,128-23-21,37-00-20,323646.423,490531.799
POINT(303783.07000278052873909 488970.15810075448825955),26,Cheongpung,1003655,Kwater,100319,T/M,Hangang,887.8,,,229.2,0,,145.28,N,40,1987Y 06M?~ 2013Y 09M,1987Y 06M?~ 2013Y 09M,128.1658333,36.99388889,128-09-57,36-59-38,303783.07,488970.158
POINT(288014.5825764971668832 490364.15605827613035217),27,Chungju Dam Outlet,1003665,Kwater,100320,T/M,Hangang,6648,,,201.2,0,221,227.1,N,83,1923Y 09M?~ 2013Y 09M,1987Y 06M?~ 2013Y 09M,127.9888889,37.00805556,127-59-20,37-00-29,288014.583,490364.156
POINT(275220.2796426157001406 463603.85985094320494682),29,Goesan,1004645,MOLIT,100409,T/M,Hangang,671,,,225.9,0,110.221,118.057,N,8,1999Y 06M?~ 2013Y 09M,1998Y 01M?~ 2013Y 09M,127.8425,36.76805556,127-50-33,36-46-05,275220.28,463603.86
POINT(278397.27257501194253564 466067.9538335157558322),30,Bido,1004646,MOLIT,100407,T/M,Hangang,166.39,,,3.15,,118.175,124.485,N,5,2011Y 12M?~ 2013Y 09M,2011Y 12M?~ 2013Y 09M,127.8783333,36.79,127-52-42,36-47-24,278397.273,466067.954
POINT(282368.09434621158288792 481088.90901456942083314),31,Dalcheon,1004690,Kwater,100414,T/M,Hangang,1398,,,191.4,0,71.187,79.61,N,10,1984Y 07M?~ 2013Y 09M,1986Y 05M?~ 2013Y 09M,127.9244444,36.925,127-55-28,36-55-30,282368.094,481088.909
POINT(276259.91725146264070645 474927.54489186278078705),32,Mokdo,1004693,MOLIT,100409,T/M,Hangang,1063.97,,,1.52,,87.793,100.242,N,9,2011Y 12M?~ 2013Y 09M,2011Y 12M?~ 2013Y 09M,127.8552778,36.87,127-51-19,36-52-12,276259.917,474927.545
POINT(279233.08977870957460254 488119.30957212450448424),33,Tangeum,1005605,MOLIT,100414,T/M,Hangang,126.3,,,0.21,,62.702,73.581,N,8,2006Y 12M?~ 2013Y 09M,2006Y 11M?~ 2013Y 09M,127.89,36.98861111,127-53-24,36-59-19,279233.09,488119.31
POINT(278351.7816952831344679 497822.86515739851165563),36,Mokgye,1005640,MOLIT,100502,T/M,Hangang,8433.8,330,300,180.6,307.6,52.337,66.844,N,14,1917Y 07M?~ 2013Y 09M,1917Y 01M?~ 2013Y 09M,127.8811111,37.07611111,127-52-52,37-04-34,278351.782,497822.865
POINT(266925.34445573523407802 511968.34849087952170521),37,Beopcheon,1005695,MOLIT,100505,T/M,Hangang,27.9,,,0.68,,43.84,55.014,N,8,2006Y 12M?~ 2013Y 09M,2006Y 11M?~ 2013Y 09M,127.7538889,37.20444444,127-45-14,1937-12-16,266925.344,511968.348
POINT(266234.14310985006159171 512055.3705267952173017),38,Namhangang,1005697,MOLIT,100505,T/M,Hangang,10930.43,,,163.22,,39.676,56.902,N,13,2010Y 12M?~ 2013Y 09M,2010Y 12M?~ 2013Y 09M,127.7461111,37.20527778,127-44-46,1937-12-19,266234.143,512055.371
POINT(297956.52296073123579845 551401.94533812021836638),39,Maeil,1006610,Kwater,100601,T/M,Hangang,165.1,,,71.2,0,186.458,,N,8.6,2001Y 10M?~ 2013Y 09M,2000Y 06M?~ 2013Y 09M,128.1086111,37.55694444,128-06-31,37-33-25,297956.523,551401.945
POINT(286712.63179477676749229 544431.69404364167712629),41,Hoengseong,1006650,MOLIT,100605,T/M,Hangang,209,,2660,58.2,49.1,107.053,115.878,N,8,1972Y 08M?~ 2013Y 09M,1963Y 05M?~ 2013Y 09M,127.9805556,37.49527778,127-58-50,37-29-43,286712.632,544431.694
POINT(286826.00263179908506572 542983.66747700015548617),42,Jeoncheon,1006660,MOLIT,100604,T/M,Hangang,169.36,,,1.19,,107.876,115.482,N,6,2006Y 12M?~ 2013Y 09M,2006Y 12M?~ 2013Y 09M,127.9816667,37.48222222,127-58-54,37-28-56,286826.003,542983.667
POINT(284668.01366815861547366 528007.15296505857259035),43,Wonju,1006665,MOLIT,100606,T/M,Hangang,96.06,113,200,10.71,14.5,120.223,125.898,N,6,1976Y 08M?~ 2013Y 09M,1963Y 04M?~ 2013Y 09M,127.9555556,37.3475,127-57-20,37-20-51,284668.014,528007.153
POINT(281577.24138294561998919 536979.72782173426821828),44,OkSan,1006670,MOLIT,100605,T/M,Hangang,717.29,,,27,,80.576,93.665,N,0.99,2012Y 09M?~ 2013Y 09M,2012Y 09M?~ 2013Y 09M,127.9216667,37.42861111,127-55-18,37-25-43,281577.241,536979.728
POINT(279471.28955469944048673 536065.24233752652071416),45,Janghyun,1006672,MOLIT,100608,T/M,Hangang,935.23,,,32.27,,77.58,90.502,N,10,2007Y 05M?~ 2013Y 09M,2007Y 05M?~ 2013Y 09M,127.8977778,37.42055556,127-53-52,37-25-14,279471.29,536065.242
POINT(273676.36575359589187428 529506.4310310585424304),46,Ganhyeon,1006680,MOLIT,100608,T/M,Hangang,1190.27,402,300,18.84,82.1,59.492,70.556,N,11,1964Y 04M?~ 2013Y 09M,1962Y 11M?~ 2013Y 09M,127.8316667,37.36194444,127-49-54,37-21-43,273676.366,529506.431
POINT(271835.7220792697626166 523169.8685633447021246),47,Munmak,1006690,MOLIT,100610,T/M,Hangang,1336,,440,11,90.5,50.72,60.599,Y,10,1983Y 07M?~ 2013Y 09M,1981Y 01M?~ 2013Y 09M,127.8102778,37.305,127-48-37,37-18-18,271835.722,523169.869
POINT(256462.1820093464339152 501964.39300849882420152),48,Janghowon,1007605,MOLIT,100710,T/M,Hangang,431.23,,,20.33,,56.683,66.238,N,7,2006Y 12M?~ 2013Y 09M,2006Y 11M?~ 2013Y 09M,127.6352778,37.115,127-38-07,37-06-54,256462.182,501964.393
POINT(253752.93248073596623726 497044.83743509429041296),49,Chongcheon,1007610,MOLIT,100704,T/M,Hangang,99.51,,,1.8,,72.986,79.145,N,4.3,2008Y 01M?~ 2013Y 09M,2008Y 01M?~ 2013Y 09M,127.6044444,37.07083333,127-36-16,1937-04-15,253752.932,497044.837
POINT(256328.19961462629726157 507235.38283580652205274),50,Cheongmi,1007615,MOLIT,100706,T/M,Hangang,525.6,,,16,0,49.882,58.557,N,9,1984Y 07M?~ 2013Y 09M,1985Y 01M?~ 2013Y 09M,127.6341667,37.1625,127-38-03,37-09-45,256328.2,507235.383
POINT(263844.76065418357029557 511697.7573100661393255),51,Samhap,1007617,MOLIT,100706,T/M,Hangang,584.07,,,4.7,,42.076,53.904,N,11,2008Y 01M?~ 2013Y 09M,2008Y 01M?~ 2013Y 09M,127.7191667,37.20222222,127-43-09,1937-12-08,263844.761,511697.757
POINT(263352.04866098368074745 514900.42004892189288512),52,Gangcheon,1007620,MOLIT,100708,T/M,Hangang,10325.63,,,160.4,0,38.4,47.845,N,12,1994Y 12M?~ 2013Y 09M,1994Y 12M?~ 2013Y 09M,127.7138889,37.23111111,127-42-50,37-13-52,263352.049,514900.42
POINT(260399.73908237047726288 517499.27990409143967554),53,Wuman,1007625,MOLIT,100708,T/M,Hangang,10930.43,,,153.3,0,36.292,51.543,N,12,2000Y 10M?~ 2013Y 09M,2000Y 10M?~ 2013Y 09M,127.6808333,37.25472222,127-40-51,37-15-17,260399.739,517499.28
POINT(257411.11806036694906652 522072.06194401154061779),54,Yeoju,1007635,MOLIT,100708,T/M,Hangang,11095.93,502,410,145.9,347.1,32.529,46.906,N,11,1917Y 07M?~ 2013Y 09M,1915Y 03M?~ 2013Y 09M,127.6475,37.29611111,127-38-51,37-17-46,257411.118,522072.062
POINT(250784.95981848740484565 526222.22748424240853637),55,Yulgkuk,1007640,MOLIT,100710,T/M,Hangang,179.95,,,3.54,,32.057,41.227,N,8,2006Y 12M?~ 2013Y 09M,2006Y 11M?~ 2013Y 09M,127.5730556,37.33388889,127-34-23,37-20-02,250784.96,526222.227
POINT(240875.81792526028584689 518738.02875758043956012),56,Bokhagyo,1007645,MOLIT,100713,T/M,Hangang,165.54,,,14.68,0,46.237,53.09,N,6,1989Y 09M?~ 2013Y 09M,1988Y 04M?~ 2013Y 09M,127.4608333,37.26694444,127-27-39,37-16-01,240875.818,518738.029
POINT(247412.91788184031611308 526109.96210359933320433),58,Heungcheon,1007650,MOLIT,100717,T/M,Hangang,294.44,,,4.98,0,34.112,40.089,N,5,2000Y 10M?~ 2013Y 09M,2000Y 10M?~ 2013Y 09M,127.535,37.33305556,127-32-06,37-19-59,247412.918,526109.962
POINT(249817.35919754949281923 531611.7479448055382818),59,Yangcheon,1007655,MOLIT,100715,T/M,Hangang,54.41,,,3.15,,30.136,41.465,N,8.1,2006Y 12M?~ 2013Y 09M,2006Y 11M?~ 2013Y 09M,127.5625,37.3825,127-33-45,37-22-57,249817.359,531611.748
POINT(247591.46913840749766678 533664.42164650175254792),60,Ipo,1007660,MOLIT,100715,T/M,Hangang,11756.48,,,129.71,0,26.105,40.294,N,11,2000Y 10M?~ 2013Y 09M,2000Y 10M?~ 2013Y 09M,127.5375,37.40111111,127-32-15,37-24-04,247591.469,533664.422
POINT(246665.66702341919881292 540873.58000136038754135),61,Heukcheongyo,1007680,MOLIT,100717,T/M,Hangang,307.82,,,2.87,0,32.286,38.411,N,6,1989Y 03M?~ 2013Y 09M,1988Y 04M?~ 2013Y 09M,127.5275,37.46611111,127-31-39,37-27-58,246665.667,540873.58
POINT(243336.46955397434066981 543106.2441954305395484),62,Yangpyeong,1007685,MOLIT,100718,T/M,Hangang,12106.5,630,110,120.65,375.2,19.558,30.119,N,14,1959Y 07M?~ 2013Y 09M,1953Y 11M?~ 2013Y 09M,127.49,37.48638889,127-29-24,37-29-11,243336.47,543106.244
POINT(274396.46292928594630212 623619.97518852818757296),64,Pyeonghwaui Dam (Haryu),1009652,Kwater,100903,T/M,Hangang,,,,,,270.14,,N,40,2010Y 12M?~ 2013Y 09M,2010Y 12M?~ 2013Y 09M,127.8494444,38.20972222,127-50-58,38-12-35,274396.463,623619.975
POINT(281084.16779162676539272 621525.44430359581019729),66,Gagsigyo,1010640,Kwater,101003,T/M,Hangang,293.4,,,9,0,223.61,232.722,N,9.84,1999Y 07M?~ 2013Y 09M,1996Y 01M?~ 2013Y 09M,127.9255556,38.19027778,127-55-32,1938-11-25,281084.168,621525.444
POINT(268157.0345441399840638 613296.74479796213563532),68,Hwacheondam,1010660,MOLIT,101006,T/M,Hangang,4017.16,,,121.49,,0.268,184.786,N,173,1975Y 07M?~ 2013Y 09M,1967Y 01M?~ 2013Y 09M,127.7772222,38.11722222,127-46-38,1938-07-02,268157.035,613296.745
POINT(258848.96359138228581287 596696.72604218078777194),71,Chuncheondam,1010690,MOLIT,101012,T/M,Hangang,4736,,,87.49,,-0.022,107.159,N,104,1975Y 07M?~ 2013Y 09M,1967Y 01M?~ 2013Y 09M,127.6697222,37.96833333,127-40-11,37-58-06,258848.964,596696.726
POINT(259393.11598318713367917 595713.9592459766427055),72,Seowon,1010695,MOLIT,101012,T/M,Hangang,4798.78,440,1300,84.32,234,71.811,84.348,N,9,1963Y 07M?~ 2013Y 09M,1963Y 01M?~ 2013Y 09M,127.6758333,37.95944444,127-40-33,37-57-34,259393.116,595713.959
POINT(308128.99729150673374534 615765.086803880170919),73,Bukcheon,1011650,Kwater,101103,T/M,Hangang,300.2,,,7,0,232.606,239.315,N,6,2001Y 10M?~ 2013Y 09M,2000Y 04M?~ 2013Y 09M,128.2333333,38.13555556,128-14-00,1938-08-08,308128.997,615765.087
POINT(306055.83274667896330357 614103.27240228606387973),74,Wontong,1011690,Kwater,101104,T/M,Hangang,525.6,,,7,0,218.337,222.042,N,6,1975Y 07M?~ 2013Y 09M,1974Y 03M?~ 2013Y 09M,128.2094444,38.12083333,128-12-34,1938-07-15,306055.833,614103.272
POINT(316758.58524865953950211 586277.33290240739006549),75,Waeongseongdong,1012630,MOLIT,101201,T/M,Hangang,387.67,,,48.49,,373.813,389.779,N,13,2007Y 05M?~ 2013Y 09M,2007Y 05M?~ 2013Y 09M,128.3269444,37.86888889,128-19-37,37-52-08,316758.585,586277.333
POINT(315778.93789003306301311 595052.87215122662018985),76,HyeonRi,1012640,MOLIT,101204,T/M,Hangang,190.13,,,103.5,,285.965,294.476,N,6,2012Y 09M?~ 2013Y 09M,2012Y 09M?~ 2013Y 09M,128.3172222,37.94805556,128-19-02,37-56-53,315778.938,595052.872
POINT(308975.59982399170985445 601620.82835074991453439),77,Naerincheon,1012650,Kwater,101205,T/M,Hangang,1039.1,,,10,0,230.334,244.454,N,10,1975Y 07M?~ 2013Y 09M,1981Y 01M?~ 2013Y 09M,128.2408333,38.00805556,128-14-27,38-00-29,308975.6,601620.828
POINT(292793.52248720359057188 599909.98167671239934862),78,Yanggu,1012670,Kwater,101206,T/M,Hangang,2294.3,,,53.8,0,,207.901,N,53.8,1987Y 06M?~ 2013Y 09M,1987Y 06M?~ 2013Y 09M,128.0563889,37.99444444,0128-03-23,37-59-40,292793.522,599909.982
POINT(269526.56861532025504857 592617.75245211413130164),80,Cheonjeon,1012685,MOLIT,101208,T/M,Hangang,2690.19,51,540,11.35,150.25,76.049,85.728,N,9,1999Y 02M?~ 2013Y 09M,1962Y 01M?~ 2013Y 09M,127.7908333,37.93083333,127-47-27,37-55-51,269526.569,592617.752
POINT(263551.65506392833776772 588344.92759890272282064),81,Chuncheon,1013637,MOLIT,101301,T/M,Hangang,7887,,,78.32,0,0.012,74.611,N,77,1925Y 07M?~ 2013Y 09M,1914Y 10M?~ 2013Y 09M,127.7225,37.89277778,127-43-21,37-53-34,263551.655,588344.928
