no,관측소명,수계명,하천명,관측종별,위 치,경도,위도,관측개시일,관측소영문,유역면적(km2),관측소코드,영점표고(m),관할기관,하구로부터의 거리,유량관측 여부,수위유량 관계곡선,Xr,Yr
1,방림교,한강,평창강,자기,강원 평창군 방림면 방림2리 상방림교,128-25-02,37-25-53,1982-04-00,Bangrimgyo,527.12,1002640,359.217,국토해양부,92.39,o,o,325368.9476,437524.0534
2,하반정,한강,대화천,자기,강원 평창군 대화면 하안미리 사초교,128-26-23,37-27-18,1982-04-00,Habanjeong,86.05,1002635,374.616,국토교통부,0.85,o,o,327320.5558,440174.9178
3,상안미,한강,평찬강,T/M,강원 평창군 대화면 상안미리 선애교,128-24-36,37-28-28,1982-04-00,Sanganmi,392.93,1002625,385.387,국토교통부,101.5,o,o,324658.2978,442293.4756
4,백옥포,한강,흥정천,자기,강원 평창군 용평면 백옥포리 새마을교,128-24-26,37-35-03,1982-04-00,Baekokpo,143.93,1002615,506.214,국토교통부,1.27,o,o,324230.7008,454468.6702
5,장평교,한강,속사천,자기,강원 평창군 용평면 장평리 장평교,128-24-46,37-35-11,1982-04-00,Jangpyeonggyo,104.76,1002610,526.963,국토교통부,4.51,o,o,324717.7412,454722.685
6,이목정,한강,속사천,자기,강원 평창군 용평면 이목정리 새마을교,128-28-19,37-37-17,1982-04-00,Imokjeong,56.33,1002605,590.873,국토교통부,10.36,o,o,329883.2268,458687.7638
